time_stamp,battery_power_kw,interpolated_battery_power_kw
2022-05-26 00:00:00,-64.2,-64.2
2022-05-26 00:01:00,-101.19999999999999,-101.19999999999999
2022-05-26 00:02:00,-117.6,-117.6
2022-05-26 00:03:00,-149.6,-149.6
2022-05-26 00:04:00,-108.1,-108.1
2022-05-26 00:05:00,-125.6,-125.6
2022-05-26 00:06:00,-98.6,-98.6
2022-05-26 00:07:00,-141.7,-141.7
2022-05-26 00:08:00,-124.8,-124.8
2022-05-26 00:09:00,-137.5,-137.5
2022-05-26 00:10:00,-146.5,-146.5
2022-05-26 00:11:00,-120.1,-120.1
2022-05-26 00:12:00,-149.5,-149.5
2022-05-26 00:13:00,-144.4,-144.4
2022-05-26 00:14:00,-147.7,-147.7
2022-05-26 00:15:00,-157.6,-157.6
2022-05-26 00:16:00,-151.7,-151.7
2022-05-26 00:17:00,-168.2,-168.2
2022-05-26 00:18:00,-146.1,-146.1
2022-05-26 00:19:00,-162.39999999999998,-162.39999999999998
2022-05-26 00:20:00,-156.3,-156.3
2022-05-26 00:21:00,-173.1,-173.1
2022-05-26 00:22:00,-181.8,-181.8
2022-05-26 00:23:00,-160.8,-160.8
2022-05-26 00:24:00,-163.0,-163.0
2022-05-26 00:25:00,-164.0,-164.0
2022-05-26 00:26:00,-195.8,-195.8
2022-05-26 00:27:00,-163.3,-163.3
2022-05-26 00:28:00,-167.8,-167.8
2022-05-26 00:29:00,-175.10000000000002,-175.10000000000002
2022-05-26 00:30:00,-200.0,-200.0
2022-05-26 00:31:00,-216.0,-216.0
2022-05-26 00:32:00,-179.60000000000002,-179.60000000000002
2022-05-26 00:33:00,-202.7,-202.7
2022-05-26 00:34:00,-180.4,-180.4
2022-05-26 00:35:00,-205.8,-205.8
2022-05-26 00:36:00,-213.3,-213.3
2022-05-26 00:37:00,-193.0,-193.0
2022-05-26 00:38:00,-217.7,-217.7
2022-05-26 00:39:00,-200.4,-200.4
2022-05-26 00:40:00,-223.1,-223.1
2022-05-26 00:41:00,-199.5,-199.5
2022-05-26 00:42:00,-208.2,-208.2
2022-05-26 00:43:00,-211.1,-211.1
2022-05-26 00:44:00,-176.9,-176.9
2022-05-26 00:45:00,-210.0,-210.0
2022-05-26 00:46:00,-208.8,-208.8
2022-05-26 00:47:00,-201.4,-201.4
2022-05-26 00:48:00,-225.8,-225.8
2022-05-26 00:49:00,-209.7,-209.7
2022-05-26 00:50:00,-222.8,-222.8
2022-05-26 00:51:00,-197.9,-197.9
2022-05-26 00:52:00,-210.5,-210.5
2022-05-26 00:53:00,-215.7,-215.7
2022-05-26 00:54:00,-211.4,-211.4
2022-05-26 00:55:00,-232.1,-232.1
2022-05-26 00:56:00,-203.2,-203.2
2022-05-26 00:57:00,-216.9,-216.9
2022-05-26 00:58:00,-241.60000000000002,-241.60000000000002
2022-05-26 00:59:00,-253.2,-253.2
2022-05-26 01:00:00,-244.8,-244.8
2022-05-26 01:01:00,-236.29999999999998,-236.29999999999998
2022-05-26 01:02:00,-254.2,-254.2
2022-05-26 01:03:00,-252.0,-252.0
2022-05-26 01:04:00,-260.0,-260.0
2022-05-26 01:05:00,-234.1,-234.1
2022-05-26 01:06:00,-234.70000000000002,-234.70000000000002
2022-05-26 01:07:00,-234.8,-234.8
2022-05-26 01:08:00,-219.0,-219.0
2022-05-26 01:09:00,-248.0,-248.0
2022-05-26 01:10:00,-252.89999999999998,-252.89999999999998
2022-05-26 01:11:00,-257.5,-257.5
2022-05-26 01:12:00,-242.60000000000002,-242.60000000000002
2022-05-26 01:13:00,-256.8,-256.8
2022-05-26 01:14:00,-276.4,-276.4
2022-05-26 01:15:00,-265.3,-265.3
2022-05-26 01:16:00,-232.89999999999998,-232.89999999999998
2022-05-26 01:17:00,-265.1,-265.1
2022-05-26 01:18:00,-253.7,-253.7
2022-05-26 01:19:00,-270.4,-270.4
2022-05-26 01:20:00,-311.5,-311.5
2022-05-26 01:21:00,-278.5,-278.5
2022-05-26 01:22:00,-289.7,-289.7
2022-05-26 01:23:00,-281.70000000000005,-281.70000000000005
2022-05-26 01:24:00,-293.9,-293.9
2022-05-26 01:25:00,86.9,86.9
2022-05-26 01:26:00,97.9,97.9
2022-05-26 01:27:00,102.4,102.4
2022-05-26 01:28:00,112.19999999999999,112.19999999999999
2022-05-26 01:29:00,122.6,122.6
2022-05-26 01:30:00,96.19999999999999,96.19999999999999
2022-05-26 01:31:00,119.1,119.1
2022-05-26 01:32:00,103.3,103.3
2022-05-26 01:33:00,99.3,99.3
2022-05-26 01:34:00,92.9,92.9
2022-05-26 01:35:00,80.5,80.5
2022-05-26 01:36:00,85.1,85.1
2022-05-26 01:37:00,54.1,54.1
2022-05-26 01:38:00,54.2,54.2
2022-05-26 01:39:00,57.400000000000006,57.400000000000006
2022-05-26 01:40:00,56.3,56.3
2022-05-26 01:41:00,72.6,72.6
2022-05-26 01:42:00,68.0,68.0
2022-05-26 01:43:00,49.3,49.3
2022-05-26 01:44:00,82.1,82.1
2022-05-26 01:45:00,70.9,70.9
2022-05-26 01:46:00,85.6,85.6
2022-05-26 01:47:00,95.6,95.6
2022-05-26 01:48:00,72.6,72.6
2022-05-26 01:49:00,88.6,88.6
2022-05-26 01:50:00,98.7,98.7
2022-05-26 01:51:00,121.5,121.5
2022-05-26 01:52:00,108.4,108.4
2022-05-26 01:53:00,109.1,109.1
2022-05-26 01:54:00,124.1,124.1
2022-05-26 01:55:00,139.2,139.2
2022-05-26 01:56:00,155.8,155.8
2022-05-26 01:57:00,146.0,146.0
2022-05-26 01:58:00,134.60000000000002,134.60000000000002
2022-05-26 01:59:00,121.19999999999999,121.19999999999999
2022-05-26 02:00:00,128.6,128.6
2022-05-26 02:01:00,113.1,113.1
2022-05-26 02:02:00,113.8,113.8
2022-05-26 02:03:00,104.5,104.5
2022-05-26 02:04:00,92.0,92.0
2022-05-26 02:05:00,113.2,113.2
2022-05-26 02:06:00,126.4,126.4
2022-05-26 02:07:00,107.4,107.4
2022-05-26 02:08:00,95.0,95.0
2022-05-26 02:09:00,93.4,93.4
2022-05-26 02:10:00,114.4,114.4
2022-05-26 02:11:00,80.6,80.6
2022-05-26 02:12:00,74.30000000000001,74.30000000000001
2022-05-26 02:13:00,54.0,54.0
2022-05-26 02:14:00,39.8,39.8
2022-05-26 02:15:00,40.400000000000006,40.400000000000006
2022-05-26 02:16:00,-33.0,-33.0
2022-05-26 02:17:00,9.2,9.2
2022-05-26 02:18:00,-46.099999999999994,-46.099999999999994
2022-05-26 02:19:00,-152.8,-152.8
2022-05-26 02:20:00,18.2,18.2
2022-05-26 02:21:00,34.3,34.3
