time_stamp,battery_power_kw
2022-05-26 00:00:00.015858+00,-64.2
2022-05-26 00:00:30.008097+00,-69.3
2022-05-26 00:01:00.002228+00,-31.9
2022-05-26 00:01:30.002686+00,-55.1
2022-05-26 00:02:00.00176+00,-62.5
2022-05-26 00:02:30.001503+00,-67
2022-05-26 00:03:00.014604+00,-82.6
2022-05-26 00:03:30.002344+00,-50.8
2022-05-26 00:04:00.014194+00,-57.3
2022-05-26 00:04:30.001514+00,-64.2
2022-05-26 00:05:00.001964+00,-61.4
2022-05-26 00:05:30.002717+00,-63.8
2022-05-26 00:06:00.017398+00,-34.8
2022-05-26 00:06:30.003045+00,-71.7
2022-05-26 00:07:00.016879+00,-70
2022-05-26 00:07:30.001614+00,-54.8
2022-05-26 00:08:00.002227+00,-70
2022-05-26 00:08:30.001562+00,-58.8
2022-05-26 00:09:00.017042+00,-78.7
2022-05-26 00:09:30.001913+00,-77.1
2022-05-26 00:10:00.002196+00,-69.4
2022-05-26 00:10:30.001712+00,-67.1
2022-05-26 00:11:00.00952+00,-53
2022-05-26 00:11:30.001513+00,-73.6
2022-05-26 00:12:00.014434+00,-75.9
2022-05-26 00:12:30.001625+00,-66.9
2022-05-26 00:13:00.015222+00,-77.5
2022-05-26 00:13:30.001986+00,-78.7
2022-05-26 00:14:00.001994+00,-69
2022-05-26 00:14:30.003385+00,-88.5
2022-05-26 00:15:00.012481+00,-69.1
2022-05-26 00:15:30.002041+00,-77.5
2022-05-26 00:16:00.017321+00,-74.2
2022-05-26 00:16:30.001692+00,-82.9
2022-05-26 00:17:00.001894+00,-85.3
2022-05-26 00:17:30.001609+00,-62.6
2022-05-26 00:18:00.01808+00,-83.5
2022-05-26 00:18:30.001623+00,-88.8
2022-05-26 00:19:00.006014+00,-73.6
2022-05-26 00:19:30.001438+00,-83.9
2022-05-26 00:20:00.013538+00,-72.4
2022-05-26 00:20:30.002222+00,-88.6
2022-05-26 00:21:00.009733+00,-84.5
2022-05-26 00:21:30.002586+00,-86.6
2022-05-26 00:22:00.0031+00,-95.2
2022-05-26 00:22:30.001514+00,-67.8
2022-05-26 00:23:00.011968+00,-93
2022-05-26 00:23:30.005738+00,-85.7
